Title,Description,Director,Genres,Cast,Origin_Country,Release_Date,Rating,Duration,Imdb_Rating,Type
Nightcrawler,A young hustler finds success trolling the streets of Los Angeles to film disasters and death. But the darkness he captures starts to take hold of him.,Dan Gilroy,"Dramas, Independent Movies, Thrillers","Jake Gyllenhaal, Rene Russo, Riz Ahmed, Bill Paxton, Kevin Rahm, Michael Hyatt, Ann Cusack, Marco Rodriguez, Michael Papajohn, Kent Shocknek, James Huang",United States,2014.0,R,118 min,7.9/10,Movie
Nila,"When a cabbie chances upon his childhood sweetheart, he tries to rekindle old feelings but finds that mature love is a more complicated matter.",Selvamani Selvaraj,"Dramas, International Movies, Romantic Movies","Sruthi Hariharan, Vicky R",India,2016.0,TV-MA,94 min,6.9/10,Movie
Nimbe,A bullied teenager gravitates toward the acceptance he finds in a street gang but soon ends up involved in a world of drug abuse and organized crime.,Tope Alake,"Dramas, International Movies","Odunlade Adekola, Chimezie Imo, Sani Danja, Rachael Okonkwo, Broda Shaggi, Toyin Abraham, Kelechi Udegbe, Doyin Abiola, Molawa Davis",Nigeria,2019.0,TV-MA,115 min,5.9/10,Movie
NiNoKuni,Two average teens go on a magical quest to save the life of their friend and her counterpart from another world. But love complicates their journey.,Yoshiyuki Momose,"Action & Adventure, Anime Features, Children & Family Movies","Kento Yamazaki, Mackenyu, Mei Nagano, Mamoru Miyano, Maaya Sakamoto, Yuki Kaji, Kenjiro Tsuda, Koichi Yamadera, Masatoh Ibu, Tsuyoshi Muro",Japan,2019.0,TV-14,107 min,6.0/10,Movie
Noblemen,"When he lands the lead in his Christian school's production of ""The Merchant of Venice,"" a secretly gay student is bullied by wealthy upperclassmen.",Vandana Kataria,"Dramas, Independent Movies, International Movies","Ali Haji, Kunal Kapoor, Muskkaan Jaferi, Hardik Thakkar, Ali Mir, Shaan Grover, M.K. Raina, Ivan Rodrigues",India,2019.0,TV-MA,109 min,5.7/10,Movie
Okja,"A gentle giant and the girl who raised her are caught in the crossfire between animal activism, corporate greed and scientific ethics.",Bong Joon Ho,"Action & Adventure, Comedies, Dramas","Tilda Swinton, Jake Gyllenhaal, An Seo Hyun, Paul Dano, Steven Yeun, Byun Heebong, Lily Collins, Yoon Je Moon, Shirley Henderson, Daniel Henshall, Devon Bostick, Woo Shik Choi, Giancarlo Esposito","South Korea, United States",2017.0,TV-MA,121 min,7.4/10,Movie
Oloibiri,"After drilling depletes a small village, a corporation finds more oil in the region, igniting tensions among the community.",Curtis Graham,"Dramas, International Movies, Thrillers","Olu Jacobs, Richard Mofe-Damijo, William R. Moses, Taiwo Ajai-Lycett, Ifeanyi Williams, Ivie Okujaye, Dayton Sinkia, Bradley Gordon","Canada, Nigeria, United States",2015.0,TV-14,86 min,5.4/10,Movie
One,A formidable Kerala chief minister’s party loyalties and personal principles are tested when a damning social media post sparks a heated power struggle.,Santhosh Viswanath,"Dramas, International Movies","Mammootty, Joju George, Murali Gopy, Mathew Thomas, Nimisha Sajayan, Salim Kumar, Gayathri Arun, Ishaani Krishna",India,2020.0,TV-PG,149 min,6.5/10,Movie
Only,A couple must endure a self-imposed quarantine and elude authorities after a mysterious virus proves lethal to the world’s female population.,Takashi Doscher,"Dramas, Independent Movies, Romantic Movies","Freida Pinto, Leslie Odom Jr., Chandler Riggs, Jayson Warner Smith, Joshua Mikel, Mark Ashworth, Tia Hendricks, Richard Hempton, Noor Naghmi, Maggie Parto",United States,2019.0,TV-MA,97 min,4.9/10,Movie
Ophelia,"In this retelling of “Hamlet” from Ophelia’s point of view, the lady-in-waiting’s shared love with Denmark’s prince is ruined by treachery and madness.",Claire McCarthy,"Dramas, Romantic Movies","Daisy Ridley, Naomi Watts, Clive Owen, George MacKay, Tom Felton, Devon Terrell, Dominic Mafham, Daisy Head","United Kingdom, United States",2018.0,PG-13,106 min,6.7/10,Movie
Oxygen,"After waking up in a cryogenic unit, Liz fights to survive and remember who she is before her oxygen runs out.",Alexandre Aja,"Dramas, International Movies, Thrillers","Mélanie Laurent, Mathieu Amalric, Malik Zidi","France, United States",2021.0,TV-14,102 min,6.6/10,Movie
Pachamama,"When a sacred statue is taken from his Andean village, a spirited boy who dreams of becoming a shaman goes on a brave mission to get it back.",Juan Antin,Children & Family Movies,"Adam Moussamih, Charli Birdgenau, Vlastra Vrana, Sonja Ball, Alexandre Harough","France, Luxembourg, Canada",2019.0,PG,71 min,7.0/10,Movie
Paddleton,"After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does.",Alex Lehmann,"Comedies, Dramas, Independent Movies","Mark Duplass, Ray Romano",United States,2019.0,TV-MA,89 min,7.1/10,Movie
Pagglait,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband.",Umesh Bist,"Comedies, Dramas, International Movies","Sanya Malhotra, Sayani Gupta, Ashutosh Rana, Raghuvir Yadav, Shruti Sharma, Sheeba Chaddha, Natasha Rastogi, Rajesh Tailang, Meghna Malik, Jameel Khan, Chetan Sharma, Ananya Khare, Bhupesh Pandya",India,2021.0,TV-PG,114 min,6.9/10,Movie
Paharganj,"In the underbelly of a Delhi neighborhood, a woman’s search for her missing lover collides with drugs, death and a coach grappling with his demons.",Rakesh Ranjan Kumar,"Dramas, Independent Movies, International Movies","Lorena Franco, Bijesh Jayarajan, Neet Chowdhary, Rajeev Gaursingh, Karran Jeet, Rajesh Sharma, Gautam Kurup, Poonam Mathur, Salman Khan, Manish Devkush",India,2019.0,TV-MA,107 min,4.3/10,Movie
Paheli,Traditional Indian folklore comes alive in this charming film based on a story by Statwart Vijaydan Detha.,Amol Palekar,"Dramas, International Movies, Romantic Movies","Shah Rukh Khan, Rani Mukerji, Anupam Kher, Dilip Prabhavalkar, Amitabh Bachchan, Juhi Chawla, Nina Kulkarni, Rajpal Yadav",India,2005.0,TV-PG,134 min,6.6/10,Movie
Pandigai,"Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that.",Feroz,"Action & Adventure, Dramas, International Movies","Kreshna, Anandhi, Saravanan, Madhusudhanan, Black Pandi, Nitin Sathyaa, Aruldass, Karunas, Shanmugha Rajan, Prinz Nithik",India,2017.0,TV-MA,125 min,6.2/10,Movie
Pandora,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.",Jung-woo Park,"Dramas, International Movies, Thrillers","Nam-gil Kim, Young-ae Kim, Jeong-hee Moon, Joo-hyun Kim, Jin-young Jung, Kyeong-yeong Lee, Shin-il Kang, Dae-Myung Kim, Seung-mok Yoo, Myung-min Kim",South Korea,2016.0,TV-MA,137 min,6.6/10,Movie
Panoptic,This documentary dissects Lebanon's present-day paradoxes stemming from years of conflict as the director attempts to reconcile with her nation's past.,Rana Eid,"Documentaries, International Movies",Rana Eid,Lebanon,2017.0,TV-MA,69 min,6.0/10,Movie
Paradox,Neil Young and his band of outlaws sow seeds of strange mischief and musical wonder under Western skies in this dreamlike film by Daryl Hannah.,Daryl Hannah,"Dramas, Independent Movies, Music & Musicals","Neil Young, Lukas Nelson, Micah Nelson, Corey McCormick, Anthony Logerfo, Tato",United States,2018.0,TV-MA,74 min,4.0/10,Movie
ParaNorman,"When an army of zombies invades a small town, it's up to an odd local boy with a knack for communicating with the dead to save the day.","Sam Fell, Chris Butler","Children & Family Movies, Comedies","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, Elaine Stritch, Bernard Hill, Jodelle Ferland, Tempestt Bledsoe, Alex Borstein, John Goodman",United States,2012.0,PG,93 min,7.1/10,Movie
Pari,"When their daughter exhibits strange behavior after moving into their new home, a couple must come to terms with who she really is.",Syed Atif Ali,"Horror Movies, International Movies","Junaid Akhtar, Azekah Daniel, Khushi Maheen, Saleem Mairaj, Qavi Khan, Rasheed Naz, Faiq Asim",Pakistan,2018.0,TV-14,116 min,4.3/10,Movie
Pariah,A lesbian teen in the Bronx balances the open expression of her sexuality among her close friends with keeping it hidden from her religious parents.,Dee Rees,"Dramas, Independent Movies, LGBTQ Movies","Adepero Oduye, Pernell Walker, Aasha Davis, Charles Parnell, Sahra Mellesse, Kim Wayans, Shamika Cotton, Raymond Anthony Thomas",United States,2011.0,R,86 min,7.1/10,Movie
Parker,"Parker is a thief – but he has scruples. So when his crew double-crosses him, Parker teams up with an unlikely partner to even the score.",Taylor Hackford,Action & Adventure,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce, Clifton Collins Jr., Bobby Cannavale, Patti LuPone, Carlos Carrasco, Micah Hauptman, Emma Booth, Nick Nolte",United States,2013.0,R,119 min,6.0/10,Movie
Paskal,Naval unit PASKAL is among the most elite special forces in Malaysia. But all bets are off when one of its own stages a hijacking. Based on true events.,Adrian Teh,"Action & Adventure, Dramas, International Movies","Hairul Azreen, Ammar Alfian, Jasmine Suraya, Henley Hii, Hafizul Kamal, Theebaan Govindasamy, Gambit Saifullah, Taufiq Hanafi, Nam Ron, Amerul Affendi, Tiger Chen",Malaysia,2018.0,TV-14,115 min,6.7/10,Movie
Patria,"Paco Ignacio Taibo II brings his book trilogy to life, highlighting Mexico's history in 1854-1867, a period he considers foundational to the country.",Matías Gueilburt,"Documentaries, International Movies",Paco Ignacio Taibo II,Mexico,2019.0,TV-MA,90 min,7.2/10,Movie
Pegasus,"After a five-year suspension, a once-legendary race car driver decides to get back in the game against a new generation of opponents.",Han Han,"Comedies, Dramas, International Movies","Shen Teng, Yin Zheng, Johnny Huang, Zhang Benyu, Yin Fang, Tian Yu, Wei Xiang",China,2019.0,TV-MA,98 min,6.3/10,Movie
Pekak,"Desperate to escape her tyrannical father, a rebellious teen befriends a deaf drug pusher who's saving up his money for cochlear implants.",Mohd Khairul Azri Bin Md Noor,"Dramas, International Movies","Zahiril Adzim, Sharifah Amani, Amerul Affendi, Sharifah Sakinah, Iedil Putra, Zaidi Omar, Joe Flizzow, Chew Kin Wah",Malaysia,2016.0,TV-MA,95 min,6.5/10,Movie
Penalty,"At a Lucknow college, an aspiring football player’s dream of playing nationally is threatened when he faces discrimination for his Manipuri background.",Shubham Singh,"Dramas, Independent Movies, International Movies","Lukram Smil, Manjot Singh, Shashank Arora, Kay Kay Menon, Aakash Dabhade, Srishti Jain, Bijou Thaangjam, Mohit Nain, Ashwin Kaushal",India,2019.0,TV-14,125 min,5.3/10,Movie
Peppermint,"After her family is murdered, a mild-mannered mom remakes herself into a badass vigilante in order to exact violent justice.",Pierre Morel,Action & Adventure,"Jennifer Garner, John Ortiz, John Gallagher Jr., Juan Pablo Raba, Annie Ilonzeh, Jeff Hephner, Pell James, Method Man, Cailey Fleming, Tyson Ritter","Hong Kong, United States",2018.0,R,102 min,6.6/10,Movie
Perdida,"A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.",Alejandro Montiel,"Dramas, International Movies, Thrillers","Luisana Lopilato, Amaia Salamanca, Rafael Spregelburd, Nicolás Furtado, Oriana Sabatini, Pedro Casablanc, Arancha Martí, Carlos Alcántara, María Onetto, Sara Sálamo","Argentina, Spain",2018.0,TV-MA,104 min,5.7/10,Movie
Petta,"An affable, newly appointed college warden proves to be no ordinary man when an old enemy resurfaces and exposes his complicated, violent past.",Karthik Subbaraj,"Action & Adventure, Comedies, Dramas","Rajnikanth, Vijay Sethupathi, M. Sasikumar, Nawazuddin Siddiqui, Trisha Krishnan, Simran",India,2019.0,TV-14,170 min,7.2/10,Movie
Phantom,India's primary intelligence agency sends an enigmatic operative on a top-secret mission to avenge the 11/26 terrorist attack on Mumbai.,Kabir Khan,"Action & Adventure, International Movies","Saif Ali Khan, Katrina Kaif, Sabyasachi Chakraborty, Mohammed Zeeshan Ayyub, Sohaila Kapoor, Denzil Smith",India,2015.0,TV-14,129 min,6.1/10,Movie
Philomena,A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.,Stephen Frears,"Dramas, Independent Movies, International Movies","Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, Barbara Jefford, Ruth McCabe, Peter Hermann, Sean Mahon, Anna Maxwell Martin, Michelle Fairley, Kate Fleetwood","United Kingdom, United States, France",2013.0,PG-13,98 min,7.7/10,Movie
PhotoCopy,"Posing as her bubbly identical twin for a quiz contest, a shy student crushes on a fellow participant, who falls for her — thinking she’s her sister.",Vijay Maurya,"Comedies, Dramas, International Movies","Parna Pethe, Chetan Chitnis, Anshuman Joshi, Aashay Kulkarni, Vandana Gupte, Girish Oak",India,2016.0,TV-14,138 min,6.2/10,Movie
Pickpockets,Aspiring teen thieves learn what it takes to be successful pickpockets on the streets of Bogotá from a master in the arts of trickery and deception.,Peter Webber,"Dramas, Independent Movies, International Movies","Carlos Bardem, Natalia Reyes, Emiliano Pernia, Duban Prado, Marcela Mar",Colombia,2017.0,TV-MA,108 min,5.3/10,Movie
Piercing,A family man plots to kill a spellbinding sex worker but ends up in a psychosexual exercise to outwit his twisted target.,Nicolas Pesce,"Dramas, Independent Movies, Thrillers","Christopher Abbott, Mia Wasikowska, Laia Costa, Marin Ireland, Maria Dizzia, Wendell Pierce, Olivia Bond, Dakota Lustick",United States,2018.0,R,81 min,5.5/10,Movie
Pihu,"A two-year-old must fend for herself when her mother suddenly passes away while her father is gone for a conference, leaving her prone to danger.",Vinod Kapri,"Dramas, Independent Movies, International Movies",Pihu Myra Vishwakarma,India,2018.0,TV-14,90 min,6.5/10,Movie
Pink,"A sexual assault victim, unjustly tried for the attempted murder of her attacker, is defended by a retired lawyer who challenges India's rape culture.",Aniruddha Roy Chowdhury,"Dramas, International Movies","Tapsee Pannu, Kirti Kulhari, Andrea Tariang, Amitabh Bachchan, Piyush Mishra, Angad Bedi, Vijay Varma, Raashul Tandon, Tushar Pandey, Dhritiman Chatterjee, Mamata Shankar",India,2016.0,TV-14,130 min,8.1/10,Movie
Pizza,A pizza delivery boy who doesn't believe in the supernatural is forced to confront his convictions after being trapped in a house on his route.,Akshay Akkineni,"Horror Movies, International Movies, Thrillers","Akshay Oberoi, Parvathy Omanakuttan, Arunoday Singh, Dipannita Sharma, Rajesh Sharma, Omkar Das Manikpuri, Hussain Dalal, D. Santosh",India,2014.0,TV-14,102 min,6.0/10,Movie
PK,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.,Rajkumar Hirani,"Comedies, Dramas, International Movies","Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,2014.0,TV-14,146 min,8.1/10,Movie
Players,"Learning of a fortune in gold being secretly shipped to Romania, master thieves Charlie and Riya assemble a crack team to steal it.","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Action & Adventure, International Movies","Vinod Khanna, Abhishek Bachchan, Bobby Deol, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johny Lever, Shweta Bhardwaj",India,2012.0,TV-14,162 min,4.0/10,Movie
Poacher,A daring farmer steals illicit ivory from a group of international terrorists and must elude their dangerous and deadly games.,Tom Whitworth,"Dramas, International Movies, Thrillers","Brian Ogola, Davina Leonard, Shiviske Shivisi, Lenny Juma, Olwenya Maina, Peter King, Alfred Munyua, Mwajuma Belle","United Kingdom, Kenya",2018.0,TV-MA,28 min,6.3/10,Movie
Polaroid,A teen's discovery of a vintage Polaroid camera develops into a darker tale when she finds that whoever takes their photo with it dies soon afterward.,Lars Klevberg,Horror Movies,"Kathryn Prescott, Mitch Pileggi, Grace Zabriskie, Tyler Young, Samantha Logan, Javier Botet, Katie Stevens, Madelaine Petsch, Priscilla Quintana, Davi Santos, Keenan Tracey","United States, Norway, Canada",2019.0,PG-13,88 min,4.9/10,Movie
Posesif,A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.,Edwin,"Dramas, International Movies, Romantic Movies","Putri Marino, Adipati Dolken, Gritte Agatha, Chicco Kurniawan, Yayu Unru, Cut Mini Theo, Ismail Basbeth, Maulidina K. Putri",Indonesia,2017.0,TV-MA,102 min,7.4/10,Movie
Pottersville,"A man's drunken romp in a gorilla suit gets him mistaken for Bigfoot, drawing media attention and tourist dollars to his struggling small town.",Seth Henrikson,"Comedies, Independent Movies","Michael Shannon, Judy Greer, Thomas Lennon, Ron Perlman, Christina Hendricks, Ian McShane",United States,2017.0,PG-13,86 min,5.2/10,Movie
Pranaam,"Aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",Sanjiv Jaiswal,"Action & Adventure, Dramas, International Movies","Rajeev Khandelwal, Samiksha Singh, S.M. Zaheer, Vikram Gokhale, Meenakshi Sethi, Atul Kulkarni, Abhimanyu Singh, Aniruddha Dave",India,2019.0,TV-14,117 min,4.4/10,Movie
Pretville,A farm boy and a greaser pluck at the heartstrings of their town's most beloved daughter while her mom faces old feelings when a pop star comes home.,Linda Korsten,"Comedies, International Movies, Music & Musicals","Marlee van der Merwe, Eugene Jensen, Marno van der Merwe, Lizelle de Klerk, Steve Hofmeyr, Sanet Ackermann, Terence Bridgett, Annette Engelbrecht, Rina Nienaber, Lizz Meiring",South Africa,2012.0,TV-PG,95 min,4.7/10,Movie
Prince,"To better himself, a spoiled prince temporarily assumes a commoner’s identity. But he soon learns his palace has been gifted to his father’s new wife.",Lekh Tandon,"Dramas, International Movies, Romantic Movies","Shammi Kapoor, Vyjayantimala, Rajendra Nath, Ajit, Helen, Leela Chitnis, Parveen Choudhary, Sudhir, Sunder, Rashid Khan",India,1969.0,TV-PG,152 min,7.2/10,Movie
Professor,A college grad in need of money must disguise himself as an old man to tutor two young women who are under the watchful eye of their strict aunt.,Lekh Tandon,"Comedies, Dramas, International Movies","Shammi Kapoor, Kalpana, Lalita Pawar, Parveen Choudhary, Salim, Pratima Devi, Rashid Khan, Bir Sakuja, Bela Bose, Ratnamala",India,1962.0,TV-PG,163 min,6.9/10,Movie
Prospect,A father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.,"Zeek Earl, Christopher Caldwell","Sci-Fi & Fantasy, Thrillers","Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo, Sheila Vand, Anwan Glover","Canada, United States",2018.0,R,100 min,6.1/10,Movie
Psycho,"As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer’s disturbing psyche emerges.",Mysskin,"Horror Movies, International Movies, Thrillers","Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram, Rajkumar Pitchumani",India,2020.0,TV-MA,143 min,6.5/10,Movie
Psychokinesis,"Suddenly possessed with supernatural powers, a father sets out to help his estranged daughter, who's at risk of losing everything she's lived for.",Sang-ho Yeon,"Action & Adventure, Comedies, International Movies","Ryu Seung-ryong, Shim Eun-kyung, Jung-min Park, Min-jae Kim, Yu-mi Jung",South Korea,2018.0,TV-MA,102 min,6.1/10,Movie
Pulang,"Thom tells her grandson about his grandfather, a sailor who left 61 years ago to seek his fortune, and asks him to find out what happened to her spouse.",Kabir Bhatia,"Action & Adventure, Dramas, International Movies","Puteri Aishah, Remy Ishak, Alvin Wong",Malaysia,2018.0,TV-14,119 min,6.5/10,Movie
Qila,"When an abusive landowner is murdered, his twin brother sets out to find the killer but quickly discovers that everyone, it seems, wanted him dead.",Umesh Mehra,"Dramas, International Movies","Dilip Kumar, Mukul Dev, Rekha, Mamta Kulkarni, Smita Jaykar, Gulshan Grover",India,1998.0,TV-14,161 min,4.9/10,Movie
Qismat,"A young villager moves to Chandigarh and falls for his bubbly neighbor, but their love story is affected by several heartbreaking twists of fate.",Jagdeep Sidhu,"Dramas, International Movies, Romantic Movies","Ammy Virk, Sargun Mehta, Guggu Gill, Tania, Harby Sangha, Hardeep Gill, Sukhdev Barnala, Satwant Kaur, Baljinder Kaur, Jashanjeet Gosha",India,2018.0,TV-PG,137 min,8.4/10,Movie
Queen,"Dumped by her fiancé, a sheltered young woman decides to go on her honeymoon to Europe alone, embarking on an exhilarating journey of self-discovery.",Vikas Bahl,"Comedies, Dramas, International Movies","Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko, Jeffrey Chee Eng Ho, Marco Canadea, Sabeeka Imam, Yogendra Tikku",India,2014.0,TV-MA,138 min,8.2/10,Movie
Quincy,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career.","Rashida Jones, Alan Hicks","Documentaries, Music & Musicals",Quincy Jones,United States,2018.0,TV-MA,124 min,7.5/10,Movie
Raajneeti,"When the American-educated scion of a powerful Indian family returns to the subcontinent, his first taste of power starts him down a corrupt path.",Prakash Jha,"Dramas, International Movies, Thrillers","Ajay Devgn, Nana Patekar, Ranbir Kapoor, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Sarah Thompson, Naseeruddin Shah",India,2010.0,TV-14,162 min,7.0/10,Movie
Rabun,"A free-spirited couple leave the city to retire in the country. But when they're swindled by a relative, life in the countryside loses its luster.",Yasmin Ahmad,"Dramas, Independent Movies, International Movies","M. Rajoli, Kartina Aziz, Rozie Rashid, Irwan Iskandar, Noor Khiriah, Hafiz Ibrahim",Malaysia,2004.0,TV-PG,85 min,7.9/10,Movie
Race,The plot thickens around two horse-racing competitors when three beautiful women come into their lives and a murder is committed.,"Mastan Alibhai Burmawalla, Abbas Alibhai Burmawalla","Action & Adventure, International Movies, Music & Musicals","Saif Ali Khan, Akshaye Khanna, Katrina Kaif, Bipasha Basu, Anil Kapoor, Sameera Reddy",India,2008.0,TV-14,155 min,6.9/10,Movie
Raees,"After street smart kid Raees rises to become Gujarat's bootlegging king in the 1980s, he tries to balance his life of crime with helping his people.",Rahul Dholakia,"Action & Adventure, Dramas, International Movies","Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui, Mohammed Zeeshan Ayyub, Sheeba Chaddha, Shubham Chintamani, Shubham Tukaram, Atul Kulkarni, Narendra Jha, Jaideep Ahlawat, Sunny Leone",India,2017.0,TV-14,143 min,6.9/10,Movie
Rakkhosh,An asylum patient’s troubled past threatens his grasp on reality as fellow hospital residents begin disappearing at the hands of an unknown entity.,"Abhijit Kokate, Srivinay Salian","Horror Movies, Independent Movies, International Movies","Sanjay Mishra, Priyanka Bose, Tannishtha Chatterjee, Barun Chanda, Sonamoni Jayant Gadekar, Ashwath Bhatt, Atul Mahale",India,2019.0,TV-MA,116 min,4.6/10,Movie
Rango,"When he becomes lost in the desert, pet chameleon Rango pretends he's a tough guy and ends up sheriff of a corrupt and violent frontier town.",Gore Verbinski,"Children & Family Movies, Comedies","Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty, Alfred Molina, Bill Nighy, Stephen Root, Harry Dean Stanton, Timothy Olyphant, Ray Winstone",United States,2011.0,PG,110 min,7.3/10,Movie
Rangoon,"During World War II, daredevil star Miss Julia entertains soldiers at the Indo-Burma border, where she's caught up in a web of love and deceit.",Vishal Bhardwaj,"Action & Adventure, Dramas, International Movies","Saif Ali Khan, Shahid Kapoor, Kangana Ranaut, Shriswara, Richard McCabe, Satoru Kawaguchi, Surendra Pal, Lin Laishram",India,2017.0,TV-14,153 min,5.4/10,Movie
Rangreza,"A high-flying rock star and son of a politician falls for a woman from a qawwal family, leading to a love triangle that may consume everyone involved.",Amir Mohiuddin,"Dramas, International Movies, Music & Musicals","Urwa Hocane, Bilal Ashraf, Gohar Rasheed, Saleem Mairaj, Ghana Ali, Shahid Naqvi",Pakistan,2017.0,TV-14,126 min,5.3/10,Movie
Rattlesnake,"After a mysterious woman saves her daughter from a deadly snakebite, a single mother must repay the debt by killing a stranger before sundown.",Zak Hilditch,"Horror Movies, Independent Movies, Thrillers","Carmen Ejogo, Theo Rossi, Emma Greenwell, Apollonia Pratt, Debrianna Mansini, Bruce Davis",United States,2019.0,TV-MA,86 min,4.7/10,Movie
Ravenous,"As a zombie plague ravages their rural Quebec town, a scrappy band of survivors join forces to flee the infected hordes in this quiet thriller.",Robin Aubert,"Horror Movies, International Movies","Marc-André Grondin, Monia Chokri, Charlotte St-Martin, Brigitte Poupart, Marie-Ginette Guay, Micheline Lanctôt, Édouard Tremblay-Grenier, Luc Proulx, Didier Lucien, Robert Brouillette, Patrick Hivon",Canada,2017.0,TV-MA,104 min,5.7/10,Movie
Rebecca,"A young newlywed moves to her husband's imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife.",Ben Wheatley,"Dramas, Romantic Movies, Thrillers","Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson",United Kingdom,2020.0,PG-13,123 min,6.2/10,Movie
Rebirth,"Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence.",Karl Mueller,"Dramas, Thrillers","Fran Kranz, Adam Goldberg, Nicky Whelan, Luis Gerardo Méndez, Harry Hamlin, Pat Healy, Kat Foster, Andrew J. West, Eric Ladin, Steve Agee",United States,2016.0,TV-MA,101 min,5.1/10,Movie
Red,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",Tirumala Kishore,"Dramas, International Movies","Ram Pothineni, Nivetha Pethuraj, Malvika Sharma, Amritha Aiyer, Sampath Raj",India,2021.0,TV-14,143 min,6.9/10,Movie
Redemption,"Newly released from prison, a man returning to his girlfriend and their child subsequently learns about a dangerous debt taken by his late mother.",Mickey Fonseca,"Dramas, International Movies, Thrillers","Gil Alexandre, Arlete Bombe, Rashid Abdul, Laquino Fonseca, Tomas Bie, Candido Quembo, Jorge Amade, Aldovina Chiziane",Mozambique,2019.0,TV-MA,102 min,6.4/10,Movie
Residue,A young screenwriter returns to his hometown to write a script based on his childhood and discovers his neighborhood has been gentrified.,Merawi Gerima,"Dramas, Independent Movies","Obinna Nwachukwu, Dennis Lindsey, Taline Stewart, Derron Scott, Jamal Graham, JaCari Dye, Julian Selman, Melody Tally, Ramon Thompson, Hasinatu Camara",United States,2020.0,TV-MA,90 min,6.8/10,Movie
Results,"After an ugly divorce, a wealthy but unhappy man trains at a local gym and develops a strange relationship with the owner and a captivating trainer.",Andrew Bujalski,"Comedies, Independent Movies","Guy Pearce, Cobie Smulders, Kevin Corrigan, Giovanni Ribisi, Anthony Michael Hall, Brooklyn Decker, Constance Zimmer, Tishuan Scott",United States,2015.0,R,105 min,5.2/10,Movie
Retablo,"High in the Andes, a teenage boy and his father work together as artisans. But their bond is shattered when the son learns of his father's secret life.",Álvaro Delgado-Aparicio L.,"Dramas, International Movies","Junior Béjar Roca, Amiel Cayo, Magaly Solier, Hermelinda Luján, Mauro Chuchón, Claudia Solís, Coco Chiarella","Peru, Germany, Norway",2017.0,TV-MA,102 min,7.2/10,Movie
Revenger,"Hell-bent on avenging the murder of his family, a former detective infiltrates a remote island that serves as a prison for vicious death row criminals.",Lee Seung-won,"Action & Adventure, International Movies","Bruce Khan, Park Hee-soon, Yoon Jin-seo, Kim In-kwon, Kim Na-yeon, Park Cheol-min, Jeon Soo-jin, Kim Jae-hyun, Choi Je-heon",South Korea,2018.0,TV-MA,102 min,5.9/10,Movie
Revolt,"Following a devastating alien invasion, an American soldier and a French foreign aid worker attempt to find refuge in the Kenyan countryside.",Joe Miale,"Action & Adventure, Sci-Fi & Fantasy","Lee Pace, Bérénice Marlohe, Jason Flemyng, Sibulele Gcilitshana, Wandile Molebatsi, Sekoati Sk Tsubane, Leroy Gopal, Welile Nzunza, Patrick Bakoba, Tom Fairfoot",United Kingdom,2017.0,R,87 min,5.4/10,Movie
